ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300604.SZ,20260805,244.03,280.0,243.76,272.0,245.82,26.18,10.6501,307069.73,8138201.32901
300604.SZ,20260806,262.0,288.96,261.06,278.53,272.0,6.53,2.4007,264964.81,7359189.70728
300604.SZ,20260807,280.01,286.47,271.33,283.21,278.53,4.68,1.6802,220530.43,6192469.92146
300604.SZ,20260810,284.16,293.88,278.0,288.08,283.21,4.87,1.7196,224927.25,6442589.10407
300604.SZ,20260811,283.05,289.66,278.88,281.04,288.08,-7.04,-2.4438,169202.86,4811629.09967
300604.SZ,20260812,285.26,291.66,280.0,287.11,281.04,6.07,2.1598,151229.88,4338211.48794
300604.SZ,20260813,293.0,301.14,281.0,281.69,287.11,-5.42,-1.8878,223758.55,6537531.0359
300604.SZ,20260814,287.01,290.99,278.0,283.05,281.69,1.36,0.4828,151768.46,4305511.52339
300604.SZ,20260817,280.51,303.7,280.51,302.57,283.05,19.52,6.8963,208836.96,6196593.86562
300604.SZ,20260818,303.7,305.18,293.58,301.03,302.57,-1.54,-0.509,182245.64,5454995.39371
